Model,Descriptors,n_bits,ROC AUC,ROC AUC val
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.863,0.8605
xgb,['rdkit'],32,0.8488,0.8852
xgb,"['rdkit', 'maccs']",32,0.8355,0.8405
xgb,"['rdkit', 'mordred']",32,0.8488,0.8852
xgb,"['rdkit', 'morgan']",32,0.8354,0.8365
xgb,['morgan'],32,0.8576,0.8857
xgb,"['morgan', 'maccs']",32,0.8907,0.8835
xgb,"['morgan','mordred']",32,0.8357,0.8393
xgb,['mordred'],32,0.8728,0.8903
xgb,"['mordred', 'maccs']",32,0.8337,0.8385
xgb,['maccs'],32,0.8922,0.8731
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8858,0.8797
svc,['rdkit'],32,0.8283,0.856
svc,"['rdkit', 'maccs']",32,0.8695,0.883
svc,"['rdkit', 'mordred']",32,0.8728,0.8716
svc,"['rdkit', 'morgan']",32,0.8429,0.863
svc,['morgan'],32,0.8205,0.7684
svc,"['morgan', 'maccs']",32,0.8422,0.8559
svc,"['morgan','mordred']",32,0.8749,0.8681
svc,['mordred'],32,0.8572,0.8711
svc,"['mordred', 'maccs']",32,0.8756,0.8738
svc,['maccs'],32,0.8432,0.8491
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8420000000000001,0.8255
rf,['rdkit'],32,0.8491,0.8543
rf,"['rdkit', 'maccs']",32,0.8638,0.8668
rf,"['rdkit', 'mordred']",32,0.8552,0.8437
rf,"['rdkit', 'morgan']",32,0.8287,0.8316
rf,['morgan'],32,0.8486,0.8645
rf,"['morgan', 'maccs']",32,0.872,0.8785
rf,"['morgan','mordred']",32,0.8491,0.8540000000000001
rf,['mordred'],32,0.852,0.8462
rf,"['mordred', 'maccs']",32,0.8524,0.8471
rf,['maccs'],32,0.8923,0.8817
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8747,0.8657
lr,['rdkit'],32,0.8274,0.8562
lr,"['rdkit', 'maccs']",32,0.8652,0.8685
lr,"['rdkit', 'mordred']",32,0.8548,0.855
lr,"['rdkit', 'morgan']",32,0.8408,0.8592
lr,['morgan'],32,0.8319,0.7723
lr,"['morgan', 'maccs']",32,0.8536,0.857
lr,"['morgan','mordred']",32,0.8598,0.8603
lr,['mordred'],32,0.8611,0.8559
lr,"['mordred', 'maccs']",32,0.8744,0.8640000000000001
lr,['maccs'],32,0.8331,0.8376
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8808,0.848
knn,['rdkit'],32,0.8590000000000001,0.8849
knn,"['rdkit', 'maccs']",32,0.8814,0.8845
knn,"['rdkit', 'mordred']",32,0.8501,0.8626
knn,"['rdkit', 'morgan']",32,0.8738,0.879
knn,['morgan'],32,0.857,0.8734
knn,"['morgan', 'maccs']",32,0.8813,0.8294
knn,"['morgan','mordred']",32,0.8732,0.8844
knn,['mordred'],32,0.872,0.8832
knn,"['mordred', 'maccs']",32,0.887,0.8695
knn,['maccs'],32,0.8801,0.8622
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8524,0.8590000000000001
xgb,"['rdkit', 'morgan']",64,0.8758,0.893
xgb,['morgan'],64,0.8884,0.8795
xgb,"['morgan', 'maccs']",64,0.8929,0.8999
xgb,"['morgan','mordred']",64,0.8325,0.8376
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8893,0.8766
svc,"['rdkit', 'morgan']",64,0.8541,0.8628
svc,['morgan'],64,0.8254,0.8095
svc,"['morgan', 'maccs']",64,0.8704,0.8751
svc,"['morgan','mordred']",64,0.8808,0.8626
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8059999999999999,0.8214
rf,"['rdkit', 'morgan']",64,0.8588,0.8567
rf,['morgan'],64,0.8540000000000001,0.8729
rf,"['morgan', 'maccs']",64,0.8751,0.8808
rf,"['morgan','mordred']",64,0.8640000000000001,0.8582
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8695,0.8677
lr,"['rdkit', 'morgan']",64,0.847,0.8596
lr,['morgan'],64,0.8266,0.815
lr,"['morgan', 'maccs']",64,0.8595,0.8572
lr,"['morgan','mordred']",64,0.8056,0.8197
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8812,0.8511
knn,"['rdkit', 'morgan']",64,0.871,0.8884
knn,['morgan'],64,0.8609,0.8589
knn,"['morgan', 'maccs']",64,0.8874,0.8579
knn,"['morgan','mordred']",64,0.8785,0.8877
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.872,0.8923
xgb,"['rdkit', 'morgan']",256,0.8623,0.8668
xgb,['morgan'],256,0.8643,0.863
xgb,"['morgan', 'maccs']",256,0.9071,0.8996
xgb,"['morgan','mordred']",256,0.8779,0.8889
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.9025,0.8958
svc,"['rdkit', 'morgan']",256,0.8451,0.8565
svc,['morgan'],256,0.8763,0.8763
svc,"['morgan', 'maccs']",256,0.8883,0.894
svc,"['morgan','mordred']",256,0.8569,0.8559
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.8527,0.8538
rf,"['rdkit', 'morgan']",256,0.8659,0.8812
rf,['morgan'],256,0.8607,0.8709
rf,"['morgan', 'maccs']",256,0.8796,0.8783
rf,"['morgan','mordred']",256,0.8543,0.8508
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.8886,0.8797
lr,"['rdkit', 'morgan']",256,0.8759999999999999,0.866
lr,['morgan'],256,0.8583,0.8778
lr,"['morgan', 'maccs']",256,0.8857,0.8881
lr,"['morgan','mordred']",256,0.8732,0.8754
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.8768,0.8851
knn,"['rdkit', 'morgan']",256,0.8358,0.8579
knn,['morgan'],256,0.86,0.8535
knn,"['morgan', 'maccs']",256,0.8688,0.8201
knn,"['morgan','mordred']",256,0.8766,0.9028
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8349,0.8376
xgb,"['rdkit', 'morgan']",512,0.8859999999999999,0.8797
xgb,['morgan'],512,0.9094,0.8839
xgb,"['morgan', 'maccs']",512,0.9096,0.8952
xgb,"['morgan','mordred']",512,0.838,0.8432
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.9025,0.8895
svc,"['rdkit', 'morgan']",512,0.8921,0.8866
svc,['morgan'],512,0.8915,0.8871
svc,"['morgan', 'maccs']",512,0.9023,0.8997
svc,"['morgan','mordred']",512,0.8862,0.8881
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8243,0.8378
rf,"['rdkit', 'morgan']",512,0.8654,0.8657
rf,['morgan'],512,0.8809999999999999,0.9035
rf,"['morgan', 'maccs']",512,0.8884,0.9014
rf,"['morgan','mordred']",512,0.8363,0.8312
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8922,0.8822
lr,"['rdkit', 'morgan']",512,0.8839,0.8873
lr,['morgan'],512,0.8583,0.8473
lr,"['morgan', 'maccs']",512,0.8919,0.8992
lr,"['morgan','mordred']",512,0.8775,0.8749
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8761,0.8758
knn,"['rdkit', 'morgan']",512,0.8476,0.8339
knn,['morgan'],512,0.8170000000000001,0.7943
knn,"['morgan', 'maccs']",512,0.8774,0.8582
knn,"['morgan','mordred']",512,0.8697,0.8654
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8809999999999999,0.8721
xgb,"['rdkit', 'morgan']",1024,0.8888,0.8727
xgb,['morgan'],1024,0.9016,0.8942
xgb,"['morgan', 'maccs']",1024,0.904,0.8962
xgb,"['morgan','mordred']",1024,0.8545,0.8624
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8876,0.8861
svc,"['rdkit', 'morgan']",1024,0.8869,0.8949
svc,['morgan'],1024,0.8914,0.9062
svc,"['morgan', 'maccs']",1024,0.9044,0.8983
svc,"['morgan','mordred']",1024,0.8749,0.8803
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8585,0.851
rf,"['rdkit', 'morgan']",1024,0.8652,0.8683
rf,['morgan'],1024,0.8903,0.8946
rf,"['morgan', 'maccs']",1024,0.8903,0.9075
rf,"['morgan','mordred']",1024,0.8508,0.8312
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.9019,0.8809999999999999
lr,"['rdkit', 'morgan']",1024,0.8862,0.9045
lr,['morgan'],1024,0.8822,0.905
lr,"['morgan', 'maccs']",1024,0.9016,0.9033
lr,"['morgan','mordred']",1024,0.8829,0.8873
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8726,0.8714
knn,"['rdkit', 'morgan']",1024,0.8755,0.8718
knn,['morgan'],1024,0.8527,0.8459
knn,"['morgan', 'maccs']",1024,0.865,0.8283
knn,"['morgan','mordred']",1024,0.8726,0.8757
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.8673,0.8862
xgb,"['rdkit', 'morgan']",2048,0.8371,0.8634
xgb,['morgan'],2048,0.9058,0.8849
xgb,"['morgan', 'maccs']",2048,0.9127,0.8984
xgb,"['morgan','mordred']",2048,0.8496,0.8609
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.9051,0.8892
svc,"['rdkit', 'morgan']",2048,0.9018,0.9068
svc,['morgan'],2048,0.8964,0.905
svc,"['morgan', 'maccs']",2048,0.9127,0.895
svc,"['morgan','mordred']",2048,0.8948,0.8954
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.8303,0.7919
rf,"['rdkit', 'morgan']",2048,0.8809999999999999,0.8842
rf,['morgan'],2048,0.8954,0.8945
rf,"['morgan', 'maccs']",2048,0.8924,0.9057
rf,"['morgan','mordred']",2048,0.8562,0.8452
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.9051,0.8918
lr,"['rdkit', 'morgan']",2048,0.8952,0.9001
lr,['morgan'],2048,0.8941,0.9024
lr,"['morgan', 'maccs']",2048,0.9094,0.903
lr,"['morgan','mordred']",2048,0.8909,0.8905
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.8837,0.8872
knn,"['rdkit', 'morgan']",2048,0.8729,0.8992
knn,['morgan'],2048,0.8681,0.894
knn,"['morgan', 'maccs']",2048,0.8552,0.8368
knn,"['morgan','mordred']",2048,0.8547,0.8849
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.863,0.8605
xgb,['rdkit'],32,0.8488,0.8852
xgb,"['rdkit', 'maccs']",32,0.8355,0.8405
xgb,"['rdkit', 'mordred']",32,0.8488,0.8852
xgb,"['rdkit', 'morgan']",32,0.8354,0.8365
xgb,['morgan'],32,0.8576,0.8857
xgb,"['morgan', 'maccs']",32,0.8907,0.8835
xgb,"['morgan','mordred']",32,0.8357,0.8393
xgb,['mordred'],32,0.8728,0.8903
xgb,"['mordred', 'maccs']",32,0.8337,0.8385
xgb,['maccs'],32,0.8922,0.8731
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8858,0.8797
svc,['rdkit'],32,0.8283,0.8564
svc,"['rdkit', 'maccs']",32,0.8695,0.883
svc,"['rdkit', 'mordred']",32,0.8728,0.8716
svc,"['rdkit', 'morgan']",32,0.8429,0.8631
svc,['morgan'],32,0.8205,0.7684
svc,"['morgan', 'maccs']",32,0.8422,0.8559
svc,"['morgan','mordred']",32,0.8751,0.8682
svc,['mordred'],32,0.8572,0.8711
svc,"['mordred', 'maccs']",32,0.8756,0.8738
svc,['maccs'],32,0.8431,0.8491
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8318,0.8169
rf,['rdkit'],32,0.8341,0.8327
rf,"['rdkit', 'maccs']",32,0.8051,0.7769
rf,"['rdkit', 'mordred']",32,0.8238,0.8271
rf,"['rdkit', 'morgan']",32,0.851,0.8468
rf,['morgan'],32,0.8514,0.8832
rf,"['morgan', 'maccs']",32,0.8656,0.8798
rf,"['morgan','mordred']",32,0.8546,0.8462
rf,['mordred'],32,0.8552,0.8457
rf,"['mordred', 'maccs']",32,0.8548,0.8474
rf,['maccs'],32,0.8997,0.8583
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8747,0.8657
lr,['rdkit'],32,0.8274,0.8562
lr,"['rdkit', 'maccs']",32,0.8657,0.8684
lr,"['rdkit', 'mordred']",32,0.8552,0.855
lr,"['rdkit', 'morgan']",32,0.841,0.8592
lr,['morgan'],32,0.8319,0.7723
lr,"['morgan', 'maccs']",32,0.8536,0.8559
lr,"['morgan','mordred']",32,0.8598,0.8603
lr,['mordred'],32,0.8612,0.8555
lr,"['mordred', 'maccs']",32,0.8753,0.8643
lr,['maccs'],32,0.8341,0.8385
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8808,0.848
knn,['rdkit'],32,0.8590000000000001,0.8849
knn,"['rdkit', 'maccs']",32,0.8814,0.8845
knn,"['rdkit', 'mordred']",32,0.8501,0.8626
knn,"['rdkit', 'morgan']",32,0.8738,0.879
knn,['morgan'],32,0.857,0.8734
knn,"['morgan', 'maccs']",32,0.8813,0.8294
knn,"['morgan','mordred']",32,0.8732,0.8844
knn,['mordred'],32,0.872,0.8832
knn,"['mordred', 'maccs']",32,0.887,0.8695
knn,['maccs'],32,0.8801,0.8622
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8524,0.8590000000000001
xgb,"['rdkit', 'morgan']",64,0.8758,0.893
xgb,['morgan'],64,0.8884,0.8795
xgb,"['morgan', 'maccs']",64,0.8929,0.8999
xgb,"['morgan','mordred']",64,0.8325,0.8376
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8893,0.8766
svc,"['rdkit', 'morgan']",64,0.8541,0.8628
svc,['morgan'],64,0.8253,0.8095
svc,"['morgan', 'maccs']",64,0.8704,0.8751
svc,"['morgan','mordred']",64,0.8808,0.8626
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8486,0.8304
rf,"['rdkit', 'morgan']",64,0.8392,0.8412
rf,['morgan'],64,0.855,0.88
rf,"['morgan', 'maccs']",64,0.8718,0.8987
rf,"['morgan','mordred']",64,0.8538,0.8479
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8751,0.8668
lr,"['rdkit', 'morgan']",64,0.847,0.8597
lr,['morgan'],64,0.8266,0.815
lr,"['morgan', 'maccs']",64,0.8595,0.8572
lr,"['morgan','mordred']",64,0.8058,0.8197
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8812,0.8511
knn,"['rdkit', 'morgan']",64,0.871,0.8884
knn,['morgan'],64,0.8609,0.8589
knn,"['morgan', 'maccs']",64,0.8874,0.8579
knn,"['morgan','mordred']",64,0.8785,0.8877
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.872,0.8923
xgb,"['rdkit', 'morgan']",256,0.8623,0.8668
xgb,['morgan'],256,0.8643,0.863
xgb,"['morgan', 'maccs']",256,0.9071,0.8996
xgb,"['morgan','mordred']",256,0.8779,0.8889
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.9025,0.8957
svc,"['rdkit', 'morgan']",256,0.845,0.8565
svc,['morgan'],256,0.8763,0.8763
svc,"['morgan', 'maccs']",256,0.8883,0.894
svc,"['morgan','mordred']",256,0.8569,0.8559
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.8379,0.8459
rf,"['rdkit', 'morgan']",256,0.8462,0.8577
rf,['morgan'],256,0.8742,0.8936
rf,"['morgan', 'maccs']",256,0.8865,0.905
rf,"['morgan','mordred']",256,0.8397,0.828
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.8877,0.8778
lr,"['rdkit', 'morgan']",256,0.8735,0.8618
lr,['morgan'],256,0.8583,0.8778
lr,"['morgan', 'maccs']",256,0.8858,0.8881
lr,"['morgan','mordred']",256,0.8732,0.8754
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.8768,0.8851
knn,"['rdkit', 'morgan']",256,0.8358,0.8579
knn,['morgan'],256,0.86,0.8535
knn,"['morgan', 'maccs']",256,0.8688,0.8201
knn,"['morgan','mordred']",256,0.8766,0.9028
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8349,0.8376
xgb,"['rdkit', 'morgan']",512,0.8859999999999999,0.8797
xgb,['morgan'],512,0.9094,0.8839
xgb,"['morgan', 'maccs']",512,0.9096,0.8952
xgb,"['morgan','mordred']",512,0.838,0.8432
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.9025,0.8896
svc,"['rdkit', 'morgan']",512,0.8921,0.8866
svc,['morgan'],512,0.8915,0.8871
svc,"['morgan', 'maccs']",512,0.9023,0.8997
svc,"['morgan','mordred']",512,0.8862,0.8881
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8588,0.8484
rf,"['rdkit', 'morgan']",512,0.8661,0.8704
rf,['morgan'],512,0.8813,0.9033
rf,"['morgan', 'maccs']",512,0.8935,0.905
rf,"['morgan','mordred']",512,0.8582,0.8441
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8922,0.8829
lr,"['rdkit', 'morgan']",512,0.8837,0.8873
lr,['morgan'],512,0.8583,0.8473
lr,"['morgan', 'maccs']",512,0.8919,0.8992
lr,"['morgan','mordred']",512,0.8777,0.8753
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8761,0.8758
knn,"['rdkit', 'morgan']",512,0.8476,0.8339
knn,['morgan'],512,0.8170000000000001,0.7943
knn,"['morgan', 'maccs']",512,0.8774,0.8582
knn,"['morgan','mordred']",512,0.8697,0.8654
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8809999999999999,0.8721
xgb,"['rdkit', 'morgan']",1024,0.8888,0.8727
xgb,['morgan'],1024,0.9016,0.8942
xgb,"['morgan', 'maccs']",1024,0.904,0.8962
xgb,"['morgan','mordred']",1024,0.8545,0.8624
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8876,0.8861
svc,"['rdkit', 'morgan']",1024,0.8869,0.8949
svc,['morgan'],1024,0.8914,0.9062
svc,"['morgan', 'maccs']",1024,0.9044,0.8986
svc,"['morgan','mordred']",1024,0.8749,0.8802
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8591,0.8495
rf,"['rdkit', 'morgan']",1024,0.8353,0.8303
rf,['morgan'],1024,0.8902,0.9099
rf,"['morgan', 'maccs']",1024,0.8959,0.9048
rf,"['morgan','mordred']",1024,0.8515,0.8469
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.9023,0.8809999999999999
lr,"['rdkit', 'morgan']",1024,0.885,0.8895
lr,['morgan'],1024,0.8818,0.9046
lr,"['morgan', 'maccs']",1024,0.9009,0.9033
lr,"['morgan','mordred']",1024,0.8829,0.8873
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8726,0.8714
knn,"['rdkit', 'morgan']",1024,0.8755,0.8718
knn,['morgan'],1024,0.8527,0.8459
knn,"['morgan', 'maccs']",1024,0.865,0.8283
knn,"['morgan','mordred']",1024,0.8726,0.8757
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.8673,0.8862
xgb,"['rdkit', 'morgan']",2048,0.8371,0.8634
xgb,['morgan'],2048,0.9058,0.8849
xgb,"['morgan', 'maccs']",2048,0.9127,0.8984
xgb,"['morgan','mordred']",2048,0.8496,0.8609
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.9051,0.8892
svc,"['rdkit', 'morgan']",2048,0.9018,0.9068
svc,['morgan'],2048,0.8964,0.905
svc,"['morgan', 'maccs']",2048,0.9127,0.895
svc,"['morgan','mordred']",2048,0.8948,0.8954
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.8533,0.8478
rf,"['rdkit', 'morgan']",2048,0.8786,0.8803
rf,['morgan'],2048,0.8967,0.8982
rf,"['morgan', 'maccs']",2048,0.8928,0.9053
rf,"['morgan','mordred']",2048,0.8553,0.8462
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.9052,0.892
lr,"['rdkit', 'morgan']",2048,0.8952,0.9001
lr,['morgan'],2048,0.8947,0.8962
lr,"['morgan', 'maccs']",2048,0.9094,0.903
lr,"['morgan','mordred']",2048,0.8907,0.8901
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.8837,0.8872
knn,"['rdkit', 'morgan']",2048,0.8729,0.8992
knn,['morgan'],2048,0.8681,0.894
knn,"['morgan', 'maccs']",2048,0.8552,0.8368
knn,"['morgan','mordred']",2048,0.8547,0.8849
